Issuing Agency,Name,Issued Date,Expiration Date
Google,Google Cybersecurity,1/4/2025,N/A
Microsoft,Microsoft Certified: Identity and Access Administrator Associate,1/2/2025,1/2/2027
Microsoft,Microsoft Certified: Information Protection and Compliance Administrator Associate,1/21/2025,1/21/2026
Microsoft,Microsoft Certified: Security Operations Analyst Associate,11/26/2024,11/26/2027
Microsoft,Microsoft Certified: Windows Server Hybrid Administrator Associate,10/14/2024,10/14/2027
Splunk,Splunk Certified Cybersecurity Defense Analyst,10/30/2024,10/30/2027
Splunk,Splunk Core Certified Power User,10/23/2024,10/23/2027
Microsoft,Microsoft Certified: Azure Security Engineer Associate,9/10/2024,9/10/2027
Microsoft,Microsoft Certified: Azure Administrator Associate,8/20/2024,8/20/2027
Amazon Web Services (AWS),AWS Certified Security - Specialty,7/26/2024,7/26/2027
Amazon Web Services (AWS),AWS Certified SysOps Administrator - Associate,7/11/2024,7/11/2027
Microsoft,Microsoft Certified: Azure Fundamentals,7/31/2024,N/A
Amazon Web Services (AWS),AWS Certified Solutions Architect – Associate,6/21/2024,6/21/2027
Amazon Web Services (AWS),AWS Certified Cloud Practitioner,4/21/2024,4/11/2027
CompTIA,CySA+,2/12/2024,2/12/2030
CompTIA,PenTest+,2/29/2024,2/28/2027
CompTIA,Project+,1/19/2024,N/A
Information Technology Infrastructure Library,ITIL® Foundation,12/12/2023,12/13/2026
Linux Professional Institute (LPI),Linux Essentials Certification,12/28/2023,N/A
CompTIA,Network+,11/13/2023,2/12/2030
CompTIA,Security+,11/29/2023,2/12/2027
CompTIA,A+,10/25/2023,2/12/2027
